date,id,system_time_start
2020-04-24,20200424T184921_20200424T185418_T11TNL_2020_04_24,2020-04-24 19:01:35.468
2020-04-26,20200426T183919_20200426T184159_T10TGP_2020_04_26,2020-04-26 18:52:23.074
2020-04-26,20200426T183919_20200426T184159_T11TKG_2020_04_26,2020-04-26 18:52:48.388
2020-04-26,20200426T183919_20200426T184159_T11TLJ_2020_04_26,2020-04-26 18:52:15.954
2020-04-26,20200426T183919_20200426T184159_T11TLM_2020_04_26,2020-04-26 18:51:35.483
2020-04-27,20200427T185921_20200427T190632_T11TLL_2020_04_27,2020-04-27 19:11:41.498
2020-04-28,20200428T182921_20200428T184129_T11TMG_2020_04_28,2020-04-28 18:42:51.804
2020-04-28,20200428T182921_20200428T184129_T11TMH_2020_04_28,2020-04-28 18:42:39.937
2020-04-28,20200428T182921_20200428T184129_T11TNG_2020_04_28,2020-04-28 18:42:48.163
2020-04-28,20200428T182921_20200428T184129_T11TNH_2020_04_28,2020-04-28 18:42:33.770
2020-04-28,20200428T182921_20200428T184129_T11TNJ_2020_04_28,2020-04-28 18:42:19.149
2020-04-28,20200428T182921_20200428T184129_T11TNK_2020_04_28,2020-04-28 18:42:04.266
